"Year","Reapplication status","Age group","Gender","Domicile","Applicants"
"2023","Reapplier","21 - 24","Man","England","390"
"2024","Reapplier","21 - 24","Man","England","280"
"2025","Reapplier","21 - 24","Man","England","240"
"2026","Reapplier","21 - 24","Man","England","250"
"2017","First time applicant","25 - 29","Man","England","340"
"2018","First time applicant","25 - 29","Man","England","390"
"2019","First time applicant","25 - 29","Man","England","400"
"2020","First time applicant","25 - 29","Man","England","350"
"2021","First time applicant","25 - 29","Man","England","470"
"2022","First time applicant","25 - 29","Man","England","380"
"2023","First time applicant","25 - 29","Man","England","300"
"2024","First time applicant","25 - 29","Man","England","310"
"2025","First time applicant","25 - 29","Man","England","270"
"2026","First time applicant","25 - 29","Man","England","320"
"2017","Reapplier","25 - 29","Man","England","190"
"2018","Reapplier","25 - 29","Man","England","150"
"2019","Reapplier","25 - 29","Man","England","170"
"2020","Reapplier","25 - 29","Man","England","160"
"2021","Reapplier","25 - 29","Man","England","180"
"2022","Reapplier","25 - 29","Man","England","180"
"2023","Reapplier","25 - 29","Man","England","170"
"2024","Reapplier","25 - 29","Man","England","130"
"2025","Reapplier","25 - 29","Man","England","110"
"2026","Reapplier","25 - 29","Man","England","90"
"2017","First time applicant","30 - 34","Man","England","80"
"2018","First time applicant","30 - 34","Man","England","90"
"2019","First time applicant","30 - 34","Man","England","110"
"2020","First time applicant","30 - 34","Man","England","100"
"2021","First time applicant","30 - 34","Man","England","140"
"2022","First time applicant","30 - 34","Man","England","120"
"2023","First time applicant","30 - 34","Man","England","90"
"2024","First time applicant","30 - 34","Man","England","100"
"2025","First time applicant","30 - 34","Man","England","100"
"2026","First time applicant","30 - 34","Man","England","140"
"2017","Reapplier","30 - 34","Man","England","30"
"2018","Reapplier","30 - 34","Man","England","40"
"2019","Reapplier","30 - 34","Man","England","40"
"2020","Reapplier","30 - 34","Man","England","30"
"2021","Reapplier","30 - 34","Man","England","50"
"2022","Reapplier","30 - 34","Man","England","70"
"2023","Reapplier","30 - 34","Man","England","50"
"2024","Reapplier","30 - 34","Man","England","40"
"2025","Reapplier","30 - 34","Man","England","30"
"2026","Reapplier","30 - 34","Man","England","40"
"2017","First time applicant","35 and over","Man","England","80"
"2018","First time applicant","35 and over","Man","England","90"
"2019","First time applicant","35 and over","Man","England","90"
"2020","First time applicant","35 and over","Man","England","80"
"2021","First time applicant","35 and over","Man","England","90"
"2022","First time applicant","35 and over","Man","England","80"
"2023","First time applicant","35 and over","Man","England","70"
"2024","First time applicant","35 and over","Man","England","100"
"2025","First time applicant","35 and over","Man","England","80"
"2026","First time applicant","35 and over","Man","England","100"
"2017","Reapplier","35 and over","Man","England","30"
"2018","Reapplier","35 and over","Man","England","40"
"2019","Reapplier","35 and over","Man","England","30"
"2020","Reapplier","35 and over","Man","England","30"
"2021","Reapplier","35 and over","Man","England","30"
"2022","Reapplier","35 and over","Man","England","50"
"2023","Reapplier","35 and over","Man","England","40"
"2024","Reapplier","35 and over","Man","England","40"
"2025","Reapplier","35 and over","Man","England","50"
"2026","Reapplier","35 and over","Man","England","40"
"2024","First time applicant","18","I use another term","England","310"
"2025","First time applicant","18","I use another term","England","210"
"2026","First time applicant","18","I use another term","England","170"
"2024","First time applicant","19","I use another term","England","10"
"2025","First time applicant","19","I use another term","England","10"
"2026","First time applicant","19","I use another term","England","20"
"2024","Reapplier","19","I use another term","England","20"
"2025","Reapplier","19","I use another term","England","10"
"2026","Reapplier","19","I use another term","England","10"
"2026","First time applicant","20","I use another term","England","10"
"2024","First time applicant","21 - 24","I use another term","England","10"
"2025","First time applicant","21 - 24","I use another term","England","10"
"2026","First time applicant","21 - 24","I use another term","England","10"
"2024","First time applicant","30 - 34","I use another term","England","10"
"2026","First time applicant","35 and over","I use another term","England","10"
"2024","First time applicant","18","I prefer not to say","England","370"
"2025","First time applicant","18","I prefer not to say","England","370"
"2026","First time applicant","18","I prefer not to say","England","360"
"2024","First time applicant","19","I prefer not to say","England","30"
"2025","First time applicant","19","I prefer not to say","England","20"
"2026","First time applicant","19","I prefer not to say","England","10"
"2024","Reapplier","19","I prefer not to say","England","20"
"2025","Reapplier","19","I prefer not to say","England","30"
"2026","Reapplier","19","I prefer not to say","England","30"
"2025","Reapplier","20","I prefer not to say","England","10"
"2026","Reapplier","20","I prefer not to say","England","10"
"2024","First time applicant","21 - 24","I prefer not to say","England","10"
"2025","First time applicant","21 - 24","I prefer not to say","England","20"
"2026","First time applicant","21 - 24","I prefer not to say","England","10"
"2026","Reapplier","21 - 24","I prefer not to say","England","10"
"2024","First time applicant","25 - 29","I prefer not to say","England","10"
"2025","First time applicant","25 - 29","I prefer not to say","England","10"
"2026","First time applicant","25 - 29","I prefer not to say","England","10"
"2025","First time applicant","30 - 34","I prefer not to say","England","10"
"2026","First time applicant","35 and over","I prefer not to say","England","10"
"2017","First time applicant","17 and under","Woman","Scotland","20"
"2018","First time applicant","17 and under","Woman","Scotland","10"
"2019","First time applicant","17 and under","Woman","Scotland","10"
"2021","First time applicant","17 and under","Woman","Scotland","10"
"2022","First time applicant","17 and under","Woman","Scotland","10"
"2023","First time applicant","17 and under","Woman","Scotland","10"
"2024","First time applicant","17 and under","Woman","Scotland","10"
"2025","First time applicant","17 and under","Woman","Scotland","10"
"2026","First time applicant","17 and under","Woman","Scotland","10"
"2017","First time applicant","18","Woman","Scotland","740"
"2018","First time applicant","18","Woman","Scotland","730"
"2019","First time applicant","18","Woman","Scotland","720"
"2020","First time applicant","18","Woman","Scotland","760"
"2021","First time applicant","18","Woman","Scotland","940"
